id,date,market,commodity,price
0,2020-10-08,Bwaise,MAIZE,1339
1,2020-03-30,,BEANS,-2000
2,2021-09-08,Mukono,MAIZE,4964
3,2020-10-11,Mukono,MAIZE,3287
4,2022-02-20,Nakasero,Maize,1292
5,2020-09-27,Mukono,BEANS,3600
6,2021-10-05,,Beans,1069
7,2020-10-23,Mukono,MAIZE,3613
8,2021-01-08,Bwaise,Beans,2687
9,2020-03-14,,MAIZE,2505
10,2022-08-05,,MAIZE,958
11,2020-11-19,Kansanga,Beans,3077
12,2022-06-24,Kansanga,MAIZE,2520
13,2022-02-03,,BEANS,3771
14,2020-05-21,,BEANS,885
15,2020-06-12,Kansanga,Maize,4334
16,2022-05-31,Mukono,Maize,4898
17,2020-12-14,Mukono,Beans,4216
17,2022-01-06,Nakasero,MAIZE,1371
19,2021-10-16,,MAIZE,1823
20,2021-06-27,Mukono,Beans,1416
21,2022-05-01,Nakasero,MAIZE,1145
22,2020-03-11,,MAIZE,4393
23,2021-06-24,,BEANS,4917
24,2021-12-31,Nakasero,BEANS,3559
25,2020-05-03,Bwaise,MAIZE,672
26,2020-08-13,Mukono,Maize,982
27,2022-05-30,Nakasero,Maize,2781
28,2020-05-15,,BEANS,4374
29,2020-04-09,Kansanga,Beans,4325
30,2021-10-31,Mukono,Maize,3279
31,2020-07-15,Bwaise,BEANS,2003
32,2022-08-03,Mukono,BEANS,1302
33,2022-05-06,Mukono,Maize,2436
34,2020-08-06,Kansanga,Maize,517
35,2022-03-13,Kansanga,Beans,4486
36,2022-09-18,Mukono,Maize,968
37,2022-07-30,,MAIZE,4660
38,2021-09-01,Mukono,MAIZE,2516
39,2020-03-24,Kansanga,Beans,2173
40,2020-09-28,Kansanga,MAIZE,2957
41,2022-08-16,Mukono,Maize,1319
42,2020-09-28,Bwaise,Beans,2501
43,2022-05-03,,Beans,4833
43,2020-11-02,Mukono,MAIZE,1376
45,2020-10-15,,MAIZE,2167
46,2021-06-01,Kansanga,Beans,916
47,2020-10-10,Mukono,Maize,1571
48,2022-01-29,Kansanga,BEANS,1416
49,2022-07-14,Bwaise,Maize,1713
50,2021-01-08,Mukono,Beans,2544
51,2021-07-27,Kansanga,MAIZE,2439
52,2022-04-10,Bwaise,BEANS,-2000
53,2022-08-11,Kansanga,MAIZE,1385
54,2021-04-26,Bwaise,MAIZE,4270
55,2022-06-11,Bwaise,MAIZE,-2000
56,2022-06-04,Mukono,Beans,4673
57,2021-07-03,Nakasero,Maize,2639
58,2020-09-28,Mukono,Maize,3331
59,2021-09-12,,Maize,2057
60,2020-01-02,,MAIZE,1073
61,2021-09-30,Nakasero,Maize,2960
62,2020-11-30,Kansanga,Beans,2071
63,2021-11-24,Bwaise,Beans,503
64,2022-03-15,,Beans,4122
65,2022-03-23,Bwaise,Maize,3245
66,2020-08-28,Nakasero,MAIZE,1707
67,2021-05-01,,Maize,2092
68,2021-02-13,Bwaise,MAIZE,545
69,2022-06-25,Mukono,BEANS,4743
70,2022-07-28,Mukono,BEANS,4306
71,2021-09-01,Nakasero,BEANS,4635
72,2021-04-01,Bwaise,BEANS,2525
73,2022-03-07,,BEANS,2749
74,2020-08-28,Nakasero,Beans,4924
75,2021-01-27,Bwaise,MAIZE,3839
76,2020-03-04,Bwaise,BEANS,660
77,2021-01-24,Kansanga,Maize,2946
78,2022-09-03,Kansanga,MAIZE,2735
79,2020-12-10,Kansanga,MAIZE,1545
80,2022-07-17,Kansanga,Maize,4011
81,2020-02-21,Nakasero,BEANS,4224
82,2021-01-23,Nakasero,BEANS,1170
83,2020-02-23,Nakasero,MAIZE,829
84,2020-07-23,Mukono,MAIZE,4379
85,2020-08-11,Kansanga,Beans,1874
86,2022-01-05,Mukono,MAIZE,1385
87,2021-08-12,Kansanga,BEANS,2124
88,2021-10-04,Bwaise,Maize,2970
89,2020-05-03,,Maize,4009
90,2021-10-25,Nakasero,Maize,4515
91,2021-10-12,Kansanga,MAIZE,4774
92,2022-04-07,,BEANS,2698
93,2022-08-15,Mukono,Beans,2497
94,2021-11-15,Kansanga,Beans,-2000
95,2020-08-05,Nakasero,Beans,2763
96,2020-07-14,Mukono,MAIZE,4502
97,2021-05-02,Kansanga,BEANS,1262
98,2020-09-06,Nakasero,Beans,4849
99,2021-07-17,Nakasero,Beans,2719
100,2022-01-08,Bwaise,Beans,4889
101,2020-07-15,Bwaise,BEANS,4797
102,2022-05-02,Bwaise,Beans,1969
103,2020-05-09,Nakasero,Maize,2893
104,2022-06-08,Kansanga,Maize,2829
105,2020-07-07,Mukono,Beans,4413
106,2021-05-18,Mukono,Maize,2989
107,2021-07-25,Kansanga,MAIZE,3616
108,2022-05-30,,BEANS,993
109,2022-08-28,Bwaise,MAIZE,1165
110,2020-03-17,Bwaise,Maize,4349
111,2021-12-24,Nakasero,BEANS,2412
112,2021-10-02,,MAIZE,4961
113,2020-09-29,Bwaise,Maize,3019
